locale,review_id,author,rating,review_text,date,app_version
en-np,f344abd6-6dd9-4c62-b96d-6070a89a0d9f,A Google user,5,Myself yugal,2018-02-28T14:13:04,3.1.3
en-np,97f41dee-205b-47bb-8890-28ea87a62004,A Google user,5,Great Payment App with widest Coverage. Loved it.  (Please fix my issue: Not able to recharge 98800 numbered SmartCell numbers through App.),2018-02-28T14:08:36,3.1.3
en-np,5986ec0c-82bd-444c-a75d-2539b2b835be,A Google user,5,Now I'm trying to open bank account then I will begin to be together with eSewa.,2018-02-28T10:32:35,3.2.1
en-np,b0111d20-d0f9-49af-8b95-771d621ad126,A Google user,1,Unable to register from my number.Why?,2018-02-28T10:23:49,3.2.1
en-np,2e910d01-f8d2-42ea-9b59-39b0d1b0681b,A Google user,5,Good enough to save money and time,2018-02-28T08:27:25,3.2.1
en-np,e106036b-69f5-4229-bac5-87f723dfe587,A Google user,5,Very thankful,2018-02-28T08:24:59,
en-np,11303fd7-b9d4-4da2-8501-d2924032944f,A Google user,5,For me slow registration please help me,2018-02-28T07:36:57,3.2.1
en-np,38895c16-f795-48c4-8161-b9064474a263,A Google user,5,ज्याबा मुला आस्याङ।,2018-02-28T06:40:04,
en-np,60d6d7f7-fca4-4881-bb2e-749ca257accc,A Google user,5,New update isn't good,2018-02-28T01:08:41,3.2.1
en-np,47575ce8-abf0-4be9-bf03-e7456a0a19a6,A Google user,5,make fond transfer methdo  paypal skrill and other to e-sewa,2018-02-27T15:52:00,
en-np,9b1fc687-7493-44b9-968c-d0ba4565a643,A Google user,5,great,2018-02-27T06:42:40,3.2.1
en-np,0cea9637-43ca-42da-84fd-85944f69ac03,A Google user,5,It's fantastic... Love to use this app,2018-02-27T04:35:10,3.2.1
en-np,ec542b70-a6b4-46c9-be7c-3e4a5a220450,A Google user,3,The only problem i have is the m pin. Why can't we have a custom 4 digit m pin instead of the randomly generated one? I always have to reset it everytime i want to do transaction. Some people may prefer it that way but for me it's too much hassle to generate a m pin everytime.,2018-02-27T04:33:47,3.2.1
